comments,date_string,datetime,engagement_score,favorites,name,party,retweets,stream_id,text,tweet_url,twitter_username,unix_time
255,3:35 PM - 6 May 2019,2019-05-06 15:35:00,1485.8362350149803,13685,Joe Biden,Democrat,940,1125529422205816834,"Congratulations to the Duke and Duchess of Sussex, Prince Harry and Meghan Markle, on the birth of their baby boy! The truth is there’s no better job than being a parent. Jill and I wish you the best of luck on your next chapter.",https://twitter.com/JoeBiden/status/1125529422205816834,JoeBiden,1557182100
292,2:38 PM - 6 May 2019,2019-05-06 14:38:00,685.198575636299,2727,Joe Biden,Democrat,404,1125515077564502016,"On Saturday, Jill and I visited Columbia, South Carolina, to discuss how we’ll build an inclusive middle class where everyone — regardless of race, gender, sexual orientation, religion or disability — comes along. Thank you to everyone who joined us, we’ll be back soon!",https://twitter.com/JoeBiden/status/1125515077564502016,JoeBiden,1557178680
151,1:28 PM - 6 May 2019,2019-05-06 13:28:00,321.7055581613184,1045,Joe Biden,Democrat,211,1125497461785616386,"Nevada, we’re taking our campaign to Henderson tomorrow, May 7th! Head to https://www.mobilize.us/joebiden/event/91903/?force_banner=true&share_context=event-detail-page-modal&share_medium=copy_link … to RSVP and come join us.",https://twitter.com/JoeBiden/status/1125497461785616386,JoeBiden,1557174480
511,5:31 PM - 5 May 2019,2019-05-05 17:31:00,2371.3900674008028,14870,Joe Biden,Democrat,1755,1125196320816467969,"On this first day of Ramadan, Jill and I wish peace and happiness to Muslims around the world celebrating the holy month. Ramadan Kareem.",https://twitter.com/JoeBiden/status/1125196320816467969,JoeBiden,1557102682
521,4:17 PM - 5 May 2019,2019-05-05 16:17:00,1040.3287348362626,3626,Joe Biden,Democrat,596,1125177603780825089,"Our country may seem more divided than ever, but I know our best days are still ahead. It’s time we lift our heads up and remember who we are. If you’re ready to get to work, join our campaign today.",https://twitter.com/JoeBiden/status/1125177603780825089,JoeBiden,1557098220
571,12:04 PM - 5 May 2019,2019-05-05 12:04:00,1377.7595247088009,5129,Joe Biden,Democrat,893,1125113934619406337,"We’re in the battle for the soul of this nation, but I’ve never been more optimistic about our future. If we work together, I know we can get this country back on track. Join our campaign:",https://twitter.com/JoeBiden/status/1125113934619406337,JoeBiden,1557083040
142,10:46 AM - 5 May 2019,2019-05-05 10:46:00,391.12409419663743,1377,Joe Biden,Democrat,306,1125094498927878144,America is an idea that has grown stronger through the unique contributions of Latinos. @latinovictoryus works tirelessly to empower the community — congrats on 5 years.,https://twitter.com/JoeBiden/status/1125094498927878144,JoeBiden,1557078406
168,9:54 AM - 5 May 2019,2019-05-05 09:54:00,319.61255191009326,948,Joe Biden,Democrat,205,1125081222420533249,We’re kicking off this campaign on May 18th—and we need #TeamJoe’s help. Sign up to host a house party to tune in with your friends and family: https://www.mobilize.us/joebiden/event/create/ …,https://twitter.com/JoeBiden/status/1125081222420533249,JoeBiden,1557075241
2905,4:14 PM - 4 May 2019,2019-05-04 16:14:00,3719.835704242336,12078,Joe Biden,Democrat,1467,1124814461536223234,"Thank you for the warm welcome, Columbia! It’s always great to be back in South Carolina.",https://twitter.com/JoeBiden/status/1124814461536223234,JoeBiden,1557011640
224,2:46 PM - 4 May 2019,2019-05-04 14:46:00,1251.6838337845393,8228,Joe Biden,Democrat,1064,1124792315623747585,"I’ve seen the selfless heroism of firefighters firsthand — they run toward danger and risk their lives every single day for strangers. On International Firefighters' Day, I extend my deepest gratitude to all the men and women who keep our communities safe.",https://twitter.com/JoeBiden/status/1124792315623747585,JoeBiden,1557006360
